insert_date,close,scode,m1,m2,k0,k1,k2,k3,k4,k5,n0_ov,n0_lv,n1_lv,n1_hv,n1_ov,n1_cv,n2_lv,n2_ov,n2_cv,n2_hv,n3_lv,n3_ov,n3_cv,n3_hv,wc,wh,wl,wo,wcp,whp,wlp,wop
2018-01-04,76700,603778,9.57,9.57,1.64,5.35,2.21,4.79,2.53,-0.53,0.43,0.43,-2.61,2.61,0.39,-2.09,-2.4,-1.73,-1.6,-0.27,-1.76,-0.14,-1.22,-0.14,-1.09,0,-1.63,0,-2.8,-1.73,-3.33,-1.73
2018-01-04,67300,002342,9.43,9.43,2.82,5.71,1.73,5.55,3.75,-0.15,0.49,0.49,-1.04,4.61,2.82,-0.89,-2.85,-1.35,0.15,2.25,-1.65,-1.05,-1.2,0,0.3,1.52,-0.15,0.46,-1.05,0.15,-1.5,-0.9
2018-01-04,106400,600846,8.9,8.9,0.23,5.09,1.03,3.17,2.11,-1.83,1.03,1.03,-3.95,0.94,-0.09,-2.16,-1.63,-1.63,-0.77,1.73,-2.61,-1.16,0.39,1.16,1.37,2.15,-1.66,-0.2,-0.29,0.48,-3.27,-1.83
2018-01-04,426700,002919,0,0,1.45,16.48,0,11.31,11.31,-4.43,10,10,-5.55,10.01,10.01,-1.17,-6.09,-5.15,-4.15,-1.16,-3.44,-2.28,3.54,4.6,4.62,5.7,-2.43,-1.25,-0.76,0.26,-7.45,-6.33
2018-01-04,177300,600476,10.26,9.99,0.15,4.17,0,2.22,2.22,-1.87,0,-0.25,-5.25,-1.3,-1.3,-3.44,-1.23,-0.23,0.06,1.46,-2.57,0,-1.75,0,-1.46,0.29,-2.28,0.29,-1.69,0.06,-2.51,0.06
2018-01-04,204100,600903,9.38,7.03,2.65,13.05,7.4,8.54,1.06,-3.99,2.8,0.59,-6.91,5.24,-2.01,-3.04,-5.36,-1.11,-1.06,4,-5.67,-2.97,3.99,5.67,4.04,5.73,-5.63,-2.92,2.88,4.55,-6.68,-4
2018-01-05,112300,002209,12.3,9.99,0.81,7.19,3.89,4.27,0.36,-2.72,0,-2.06,-4.63,2.23,-1.6,-1.96,-1.91,0,-1.09,1.82,-2.66,0.28,-0.55,1.74,-1.63,0.64,-3.72,-0.82,-1.63,0.64,-3.72,-0.82
2018-01-05,213200,600663,10.07,9.9,0.76,4.38,0.86,2.56,1.69,-1.74,0.1,-0.05,-4.6,-0.42,-1.27,-2.91,-1.69,0.05,-0.34,1.55,-1.8,-0.19,-1.36,1.17,-1.74,0.77,-2.18,-0.58,-1.69,0.82,-2.13,-0.53
2018-01-05,30100,600871,9.45,9.45,0.64,3.44,0,2.38,2.38,-1.02,0.36,0.36,-3.32,0,0,-2.33,-1.71,-1.71,-0.34,1.71,-0.68,1.03,-0.34,3.42,1.04,4.86,0.69,2.43,-0.68,3.07,-1.02,0.68
2018-01-05,235800,603648,11.75,10.7,2.52,7.1,5.68,6.62,0.89,-0.44,-0.65,-1.59,-5,1.74,-3.73,-4.58,-4.4,-2,-0.93,0.4,-3.68,-1.21,-3.68,-0.67,-2.68,0.36,-2.68,-0.18,-4.62,-1.65,-4.62,-2.18
2018-01-05,31200,002263,10.25,10.25,0.93,3.65,0,2.97,2.97,-0.66,-0.35,-0.35,-3.53,0,0,-2.88,-1.65,-0.66,0.99,2.64,-1.63,0.33,-0.98,0.98,0.66,2.66,0,1.99,0,1.98,-0.66,1.32
2018-01-05,115700,600721,10.93,10.19,0.55,3.6,1.32,2.77,1.43,-0.8,-0.19,-0.86,-4.06,-0.61,-1.9,-3.28,-0.71,-0.09,2.23,6.79,-1.57,-0.17,-0.26,3.5,2.06,5.9,0.72,2.15,1.97,5.81,0.63,2.06
2018-01-05,93100,603128,11.5,9.79,1.68,6.1,3.91,4.37,0.44,-1.64,0.24,-1.3,-3.22,2.69,-1.18,-1.61,-3.6,-1.53,0.22,1.97,-3.7,-1.31,-3.49,-1.09,-1.77,0.67,-2,0.44,-3.28,-0.87,-3.49,-1.09
2018-01-05,148700,002353,8.38,8.3,1.58,3.81,1.8,3.74,1.9,-0.07,1.55,1.48,-1.21,2.56,0.74,-1.14,-1.84,1.09,1.02,3.27,-1.01,-0.34,1.01,2.83,0.94,2.76,-1.08,-0.4,2.04,3.88,0,0.68
2018-01-05,959500,002916,11.43,10,4.44,11.76,1.97,11.53,9.38,-0.2,0,-1.28,-3.48,7.87,5.78,-3.28,1.38,3.38,6.68,9.91,-7.01,-2.41,-6.83,-1.58,-3.86,1.56,-4.04,0.7,-0.6,5,-0.8,4.11
2018-01-05,456000,603501,10.65,9.62,2.18,5.12,0,4.74,4.74,-0.36,0.36,-0.58,-4.1,0.81,0.81,-3.75,-3.42,-0.46,2.37,2.96,-4.92,-0.96,-2.61,-0.24,0.09,2.52,-2.29,1.78,-0.36,2.05,-2.73,1.32
2018-01-05,402300,603225,4.41,1.82,2.63,5.75,3.68,5.69,1.94,-0.05,8.04,5.36,-0.07,5.67,1.91,-0.02,-1.79,-1.69,2.63,3.16,-3.05,1.74,-2.88,1.74,1.37,6.19,1.19,6.19,-0.35,4.4,-0.52,4.4
2018-01-05,611900,601313,2.67,0.31,5.58,20.76,0,20.01,20.01,-0.61,9.65,7.14,-10,8.68,8.68,-9.45,-5.58,-1.57,-3.68,-0.04,-3.79,-0.67,-1.61,-0.49,-3.76,-2.66,-5.88,-2.84,-5.27,-4.19,-7.36,-4.37
2018-01-05,252900,000856,4.25,1.65,1.17,4.77,2.96,3.95,0.96,-0.79,8.22,5.52,-5.58,-1.07,-3.91,-4.82,-2.33,-1,0.37,1.7,-3.77,0.75,-2.9,2.57,-1.55,3.99,-2.43,2.14,-2.53,2.95,-3.41,1.12
2018-01-08,438400,600600,3.52,3.52,0.18,4.1,1.05,2.61,1.54,-1.43,6.27,6.27,-5.34,-1.46,-2.49,-3.97,-0.98,-0.07,1.48,3.52,-2.75,-0.87,0.61,2.18,2,3.6,-1.41,0.5,1.93,3.52,-1.48,0.43
2018-01-08,49300,002102,9.56,9.31,1.52,6.21,2.81,5.12,2.25,-1.02,0.67,0.45,-2.03,4.06,1.22,-1.01,-1.43,1.43,1.23,3.48,-2.23,-1.01,-0.2,0.4,-0.4,0.2,-2.42,-1.21,1.02,1.64,-1.02,0.2
2018-01-09,163100,600985,9.1,9.02,-0.96,4.52,0,1.25,1.25,-3.12,0.88,0.81,-4.97,-0.67,-0.67,-1.9,-6,-0.56,-4.32,1.38,-2.49,1.31,-0.92,3.66,-4.72,-0.31,-6.23,-2.58,-5.25,-0.88,-6.75,-3.13
2018-01-09,67000,600248,8.94,0,3.11,8.13,5.38,7.63,2.14,-0.46,10.02,0.99,-2.69,5.22,-0.15,-2.24,-3.98,-2.91,-1.68,2.14,-4.04,-2.02,-3.11,-0.78,-1.73,0.63,-2.68,-0.63,-4.59,-2.29,-5.5,-3.52
2018-01-09,479900,002920,3.47,0.21,2.16,9.97,1.56,8,6.34,-1.79,9.76,6.3,-7.63,1.58,0.02,-5.94,-6.34,-3.23,-4.28,-1.13,-3.93,-1.16,1.27,3.68,0.18,2.56,-4.97,-2.22,-3.06,-0.75,-8.04,-5.38
2018-01-09,62000,000010,11.31,10.12,1.91,5.85,0.96,5.32,4.33,-0.5,-0.18,-1.24,-3.55,2.1,1.13,-3.06,-2.16,-0.17,-0.67,1.5,-3.18,-0.17,-2.18,-0.17,-2.67,-0.67,-3.67,-0.67,-2.83,-0.83,-3.83,-0.83
2018-01-09,246400,002110,12,9.95,-0.78,4.25,0.53,1.35,0.82,-2.78,0.04,-1.79,-3.49,0.61,0.08,-0.73,-3.03,-1.47,-0.53,0.49,-7.07,-1.19,-6.04,-1.03,-5.15,-0.08,-6.18,-0.25,-6.54,-1.55,-7.56,-1.72
2018-01-09,133900,000014,9.66,9.66,1.29,4.81,1.12,4.33,3.17,-0.46,0.33,0.33,-3.81,0.82,-0.3,-3.36,-3.71,-0.39,-1.62,-0.15,-3.38,-1.41,-1.73,-0.31,-2.95,-1.55,-4.58,-2.64,-3.32,-1.93,-4.95,-3.01
2018-01-09,157700,002766,0,0,3.67,7.95,2.48,7.68,5.08,-0.25,9.97,9.97,-0.32,7.61,5.01,-0.06,-6.03,-3.55,-4,-1.71,-1.65,-1.65,6.08,9.98,5.59,9.47,-2.11,-2.11,1.84,5.58,-5.58,-5.58
2018-01-09,137600,603022,10.88,9.9,1.41,3.77,0,3.77,3.77,0,0.08,-0.8,-3.63,0,0,-3.63,-2.11,-0.6,-1.66,1.13,0.08,2.3,0.77,2.45,-0.38,1.29,-1.06,1.14,-0.98,0.68,-1.66,0.53
2018-01-10,71700,600684,11.68,10.82,1.03,4.06,0.7,3.31,2.59,-0.72,-0.77,-1.53,-3.91,0,-0.7,-3.21,-4.91,-1.88,-1.73,0,-1.76,-1.32,0.44,3.82,0.59,3.98,-1.62,-1.18,-1.3,2.02,-3.47,-3.03
2018-01-10,136800,002158,3.79,3.79,2.85,9.41,0,8.07,8.07,-1.22,5.95,5.95,-5.19,3.73,3.73,-4.02,-3.2,-0.91,-1.68,-0.15,-0.08,0.46,-0.08,4.42,-0.85,3.61,-0.85,-0.31,-1.75,2.67,-1.75,-1.22
2018-01-10,55300,000573,11.49,10.6,1.03,7.48,1.77,4.74,2.91,-2.55,-0.6,-1.39,-3.25,3.98,2.17,-0.72,-4.74,-3.46,0.91,2.91,-2.53,-2.35,0.54,5.6,5.09,10.38,1.89,2.08,1.46,6.56,-1.64,-1.46
2018-01-10,275800,002906,2.53,0,2.71,8.54,3.98,7.37,3.26,-1.07,10.01,7.3,-3.15,5.11,1.09,-2.1,-6.78,-3.33,-2.74,-0.41,-3.92,-2.21,-2.51,4.23,-1.92,4.87,-3.33,-1.61,-5.19,1.37,-6.56,-4.89
2018-01-10,50100,000631,10.11,9.87,3.33,9.47,0,8.56,8.56,-0.84,0.22,0,-5.19,3.79,3.79,-4.39,-4.8,-1.25,1.04,2.3,-2.89,-1.65,-2.07,4.34,0.21,6.77,-0.63,0.63,-1.04,5.43,-1.88,-0.63
2018-01-10,102100,002616,2,0,1.93,5.67,0.99,5.02,4,-0.61,10.02,7.87,-5,0.39,-0.59,-4.41,-2.87,0.61,-1.33,0.61,-1.25,-1.04,-1.04,1.35,-2.95,-0.61,-3.16,-2.95,-2.36,0,-2.56,-2.36
2018-01-10,647400,002876,9.52,9.51,2.27,6.62,3.74,5.22,1.43,-1.32,0.46,0.44,-2.67,3.77,0.03,-1.37,-2.85,0.14,-0.91,1.49,-3.68,-0.58,-3.68,-0.16,-4.69,-1.2,-4.69,-1.63,-4.56,-1.06,-4.56,-1.49
2018-01-11,438200,603989,9.47,8.2,0.91,3.29,0,2.87,2.87,-0.41,1.66,0.48,-5,-1.87,-1.87,-4.61,-1.15,1.12,-0.65,2.77,-6.23,0.48,-5.7,0.65,-7.26,-1.02,-7.78,-1.18,-6.22,0.1,-6.74,-0.07
2018-01-11,225300,002779,7.9,7.9,0.13,6.74,0,3.85,3.85,-2.71,1.95,1.95,-4.57,1.86,1.86,-1.91,-3.53,-2.44,-2.9,-0.63,-4.94,0,-4.61,0,-5.06,-0.46,-5.38,-0.46,-7.38,-2.9,-7.69,-2.9
2018-01-11,61700,600193,5.11,4.93,-0.21,4.04,0.16,1.98,1.82,-1.98,4.81,4.63,-3.73,0.16,0,-1.78,-4.13,-1.65,-3.8,-0.5,-8.08,0,-6.87,0.69,-9.06,-1.68,-10.23,-2.35,-10.56,-3.3,-11.72,-3.96
2018-01-15,89400,600652,2.76,0,3.02,7.75,3.3,7.09,3.67,-0.61,9.96,7.01,-9.06,-2.01,-5.15,-8.5,-4.15,0,10.01,10.01,-9.99,-9.88,-8.77,-4.99,0.37,4.52,-0.98,-0.85,0.37,4.52,-0.98,-0.85
2018-01-11,85800,600333,11,11,4.52,9.08,5.55,8.69,2.98,-0.36,-0.9,-0.9,-2.45,6.41,0.82,-2.1,-6.32,-0.48,-4.17,0,-2.86,-1.37,3.36,8.09,-0.6,3.95,-6.59,-5.15,-1.07,3.46,-7.03,-5.6
2018-01-11,61300,002503,10.85,10.65,3.35,7.99,4.68,7.99,3.16,0,-0.54,-0.72,-1.96,5.87,1.14,-1.96,-3.33,3,-3.16,3,-3.44,-0.86,-3.44,4.3,-9.21,-1.94,-9.21,-6.79,-6.49,1,-6.49,-3.99
2018-01-11,123100,000877,9.81,9.81,0.33,4.55,0,2.87,2.87,-1.6,0.18,0.18,-5.36,-1.06,-1.06,-3.82,-3.29,-1.27,-1.86,1.01,-3.44,-1.38,-2.32,1.89,-2.91,1.28,-4.02,-1.97,-4.14,0,-5.24,-3.21
2018-01-12,462000,002842,8.94,8.94,2.49,5.67,2.92,4.92,1.94,-0.71,0.98,0.98,-2.6,2.92,0,-1.9,-4.68,-0.42,-2.93,0.82,-2.61,0.57,-0.89,0.98,-3.39,-1.57,-5.07,-1.97,-3.8,-1.99,-5.47,-2.38
2018-01-12,664100,002230,11.26,9.77,1.48,4.17,0.75,3.98,3.21,-0.19,0.22,-1.13,-2.57,1.49,0.74,-2.39,-1.47,0.43,0.29,2.21,-0.06,0.57,1.72,2.23,1.58,2.09,-0.2,0.43,2.02,2.53,0.23,0.86
2018-01-12,221900,603367,11.79,10.95,5.48,9.91,4.61,9.81,4.97,-0.09,-0.84,-1.59,-2.21,7.48,2.75,-2.12,-4.74,-2.07,0.78,4.61,-3.19,-1.87,2.05,4.02,5.17,7.2,-0.24,1.13,2.99,4.97,-2.3,-0.97
2018-01-12,78900,002447,15.18,14.35,9.24,12.73,2.36,12.73,10.13,0,-3.77,-4.46,-2.41,10.01,7.48,-2.41,-10,-10,-10,-5.19,-4.47,0.43,-2.02,1.88,-2.02,1.88,-4.47,0.43,-11.82,-8.31,-14.03,-9.61
2018-01-12,280400,002657,11.36,9.53,5.46,12.17,2.97,11.38,8.17,-0.71,0.43,-1.22,-5.06,6.49,3.42,-4.39,-7.05,-6.08,-6.49,-2.42,-0.04,1.32,2.59,3.71,2.14,3.26,-0.48,0.87,-4.07,-3.02,-6.53,-5.26
2018-01-12,181400,600446,11.63,9.94,1.14,5.35,0.28,4.32,4.03,-0.98,0.06,-1.46,-5.18,-0.11,-0.39,-4.24,-6.68,-3.28,-4.72,-3.28,-2.36,0.06,0.18,1.57,-1.37,0,-3.87,-1.49,-4.61,-3.28,-7.02,-4.72
2018-01-12,137700,002063,6.91,5.11,3.13,8.2,0,7.79,7.79,-0.39,4.63,2.88,-6.17,1.53,1.53,-5.81,-3.47,-2.85,-1.7,2.54,4.08,10.04,6.51,10.04,7.78,11.35,5.32,11.35,4.7,8.17,2.31,8.17
2018-01-12,325500,603329,1.66,1.66,3.65,12.35,2.21,10.72,8.33,-1.45,8.21,8.21,-3.72,8.17,5.84,-2.3,-9.99,-8.89,-9.96,-5.72,-3.49,-1.26,5.09,6.73,3.97,5.59,-4.52,-2.31,-5.28,-3.8,-13.01,-11
2018-01-12,102200,000070,10.37,10.25,0.6,4.41,1.09,3.46,2.34,-0.91,-0.22,-0.32,-4.6,-0.39,-1.47,-3.72,-2.13,-1.83,-0.1,4.27,-1.63,0.31,2.64,3.26,4.45,5.07,0.1,2.07,2.54,3.15,-1.73,0.2
2018-01-12,110700,002591,4.14,0,4.17,8.24,0,7.53,7.53,-0.65,10.04,5.67,-3.52,4.43,4.43,-2.89,-6.79,-2.88,-5.67,-1.77,-3.06,0.2,-2.07,1.58,-4.89,-1.34,-5.84,-2.68,-7.63,-4.19,-8.56,-5.49
2018-01-12,77600,002587,10.07,9.76,1.76,6.01,0.13,5.43,5.3,-0.54,0.28,0,-5.67,0,-0.13,-5.15,-6.11,-2.85,-6.11,-0.54,-0.14,0.72,1.3,2.17,-2.1,-1.26,-3.5,-2.66,-4.89,-4.08,-6.25,-5.43
2018-01-12,114300,600209,12.06,10.97,2.17,6.04,1.31,6.04,4.67,0,-0.87,-1.83,-4.46,1.31,0,-4.46,-0.73,0.09,0.73,3.75,1,3.09,8.44,9.98,9.13,10.68,1.64,3.74,9.23,10.79,1.74,3.84
2018-01-12,128300,600571,12.25,10.79,2.33,8.47,3.78,6.75,2.86,-1.59,-0.69,-1.97,-3.35,4.83,1.01,-1.79,-9.12,-4.04,-7.45,-3.49,-1.03,1.2,1.03,2.83,-2.64,-0.91,-4.63,-2.48,-6.58,-4.92,-8.49,-6.42
2018-01-12,113100,000021,10.99,10.34,4.62,9.12,4.63,8.93,4.11,-0.18,-0.29,-0.88,-1.15,7.87,3.09,-0.97,-2.23,-0.8,4.73,8.75,-7.67,-2.39,-5.46,-1.28,-0.18,4.23,-2.52,3.06,-0.98,3.39,-3.3,2.23
2018-01-12,161900,000971,14.17,12.74,3,9.4,0.24,7.42,7.17,-1.81,-2.45,-3.67,-6.05,2.78,2.53,-4.32,-8.33,-6.39,1.03,3.94,-4.15,-0.38,-0.58,0.51,7.31,8.48,3.45,7.52,0.45,1.55,-3.16,0.65
2018-01-12,243100,002898,13.07,11.62,4.15,11.5,5.16,9.78,4.39,-1.55,-1.45,-2.71,-3.09,8.06,2.76,-1.56,-6.81,-4.76,-0.33,2.17,-4.4,-3.61,-0.17,3.9,4.48,8.73,0.04,0.88,-0.5,3.55,-4.72,-3.93
2018-01-15,46100,600159,11.89,11.89,1.53,5.09,0.22,4.13,3.9,-0.92,-1.67,-1.67,-6.29,-1.52,-1.74,-5.42,-2.53,-1.61,2.99,5.06,-6.49,-1.34,-4.92,-1.12,-0.7,3.27,-2.34,3.04,-2.3,1.61,-3.91,1.38
2018-01-15,196400,002382,8.09,0,6.87,12.96,6.87,12.96,5.7,0,10.03,1.79,-5.35,6.92,0.05,-5.35,-5.86,-2.21,-2.64,1.94,-7.9,-2.15,-7.4,2.21,-7.81,1.76,-8.31,-2.59,-9.84,-0.48,-10.33,-4.73
2018-01-15,201400,000935,6.84,6.84,3.37,7.86,2.65,6.47,3.72,-1.29,2.95,2.95,-9.04,-1.89,-4.42,-7.85,-5.71,-3.02,-0.92,-0.05,-4.3,-1.58,-3.15,-1.52,-1.06,0.61,-2.22,0.56,-4.04,-2.42,-5.17,-2.48
2018-01-15,118300,000800,9.54,9.03,0.99,5.84,2.36,4.12,1.72,-1.63,0.93,0.47,-3.04,2.62,0.25,-1.44,-1.29,-0.17,2.49,5.06,-1.84,-1.09,1.17,3.68,3.87,6.44,0.77,1.55,3.69,6.26,0.6,1.37
2018-01-15,437700,002001,11.37,10.59,1.03,5.27,2.98,3.68,0.69,-1.51,-0.53,-1.23,-1.62,3.56,0.57,-0.11,-1.62,0.21,2.38,2.63,-6.46,-0.78,-5.81,-0.78,-3.77,1.37,-4.43,1.37,-3.57,1.58,-4.23,1.58
2018-01-15,201300,603829,11.71,11.71,5.33,12.13,4.81,9.95,4.9,-1.95,-1.53,-1.53,-2.53,9.29,4.27,-0.6,-5,-3.8,3.8,7,-3.08,-1.78,4.24,6.6,12.42,14.97,4.52,5.93,8.15,10.6,0.55,1.9
2018-01-15,342900,603283,0,0,-0.13,8.38,3.52,3.73,0.21,-4.29,10.01,10.01,-5.05,2.92,-0.58,-0.79,-4.05,-2,0.79,8.27,-10,0.55,-4.58,4.02,-1.98,6.86,-7.54,3.29,-3.93,4.72,-9.39,1.23
2018-01-15,118700,000615,10.93,10.93,5.88,11.52,2.24,10.46,8.04,-0.95,-0.83,-0.83,-3.45,7.67,5.31,-2.53,-6.91,-5.53,3.98,6.57,-6.98,-2.74,-5.9,-1.5,3.57,8.42,2.38,7.04,-2.16,2.42,-3.28,1.12
2018-01-15,42500,600077,7.05,6.25,2.46,6.58,2.68,5.51,2.76,-1,3.63,2.85,-7.06,-0.94,-3.53,-6.12,0,0.51,3.28,4.29,-5.15,-0.49,-3.19,-0.49,-0.75,2.01,-2.76,2.01,-0.25,2.53,-2.27,2.53
2018-01-16,88700,000678,0,0,3.2,11.25,0,10.71,10.71,-0.48,10.05,10.05,-6.76,3.72,3.72,-6.31,-6.74,-1.32,-5.78,-0.84,-2.81,-2.43,-2.43,-0.51,-6.83,-5,-7.2,-6.83,-8.06,-6.26,-8.42,-8.06
2018-01-16,91300,600789,8.56,6.78,-1.3,4.42,0.9,1.13,0.23,-3.15,3.01,1.33,-5.81,-1.64,-2.52,-2.74,-2.92,-1.91,-1.46,-0.34,-4.57,-0.11,-3.66,-0.11,-3.33,0.23,-4.24,0.23,-5.17,-1.69,-6.07,-1.69
2018-01-17,167600,603477,11.07,9.97,3.37,8.16,2.64,7.56,4.79,-0.55,0,-0.98,-3.46,4.42,1.73,-2.92,-3.99,-2.76,-2.52,-0.68,-0.19,1.14,0.32,4.61,0.32,4.61,-0.19,1.14,-2.46,1.72,-2.95,-1.66
2018-01-17,135500,603321,12.82,11.52,3.54,8.61,2.17,8.11,5.81,-0.46,-1.38,-2.52,-3.99,4.28,2.07,-3.54,-0.23,-0.23,7.58,10.03,-5.78,-3.71,-5.14,-0.78,2.07,6.75,1.38,3.61,1.84,6.51,1.15,3.37
2018-01-17,124000,001965,12.22,11.21,2.77,7.27,4.68,6.57,1.81,-0.66,-1.06,-1.95,-2.42,4.68,0,-1.77,-5.5,-1.72,1.97,4.11,-2.42,-1.69,-2.17,1.45,1.5,5.26,1.25,2.01,-0.25,3.45,-0.49,0.25
2018-01-17,354500,002911,8.91,5.76,9.95,19.5,3.24,18.44,14.72,-0.88,4,0.99,-8.27,9.62,6.18,-7.45,-4.54,1.16,-2.16,3.05,-4.24,-2.4,2.02,2.8,-1.33,-0.57,-7.38,-5.6,-0.18,0.58,-6.31,-4.51
2018-01-17,260600,603378,11.37,11.13,4.93,10.29,3.23,9.46,6.03,-0.75,-1.01,-1.22,-3.38,6.56,3.22,-2.65,-2.13,-1.3,1.26,2.72,-5.36,-2.14,-5.25,-1.05,-2.75,1.56,-2.87,0.44,-4.02,0.24,-4.13,-0.87
2018-01-17,175200,603557,11.1,10.19,2.01,9.71,0,6.35,6.35,-3.06,-0.19,-1,-4.22,5.08,5.08,-1.2,-1.79,-1.79,0.69,1.79,-5.22,-2.18,-4.47,-0.69,-2.06,1.82,-2.82,0.29,-3.81,0,-4.56,-1.5
2018-01-17,77100,600202,9.83,9.36,6.33,12.69,0,12.08,12.08,-0.54,0.57,0.14,-3.89,8.3,8.3,-3.37,-3.35,-0.54,6.43,8.58,-5.17,-1.64,-4.79,0.25,1.75,7.14,1.35,5.12,1.21,6.57,0.8,4.56
2018-01-17,425800,002908,12.79,12.05,10.7,19.49,5.4,19,12.91,-0.41,-1.83,-2.48,-7.94,10,4.37,-7.56,-7.52,-4.73,-7.01,-0.46,-1.58,0.33,-0.79,5.05,-3.17,2.53,-3.95,-2.08,-7.75,-2.31,-8.49,-6.71
